"","systematic_name","gene","treatment_id","sample_id","abundance_log2"
"144","YDL053C","PBP4","NC","NC.1_1",15.12768995
"145","YDL055C","PSA1","NC","NC.1_1",18.81044112
"146","YDL061C","RPS29B","NC","NC.1_1",18.528459
"147","YDL066W","IDP1","NC","NC.1_1",16.69271196
"148","YDL072C","YET3","NC","NC.1_1",16.59921175
"149","YDL078C","MDH3","NC","NC.1_1",15.84560548
"150","YDL083C;YMR143W",NA,"NC","NC.1_1",20.51638607
"151","YDL084W","SUB2","NC","NC.1_1",17.03674343
"152","YDL086W","YDL086W","NC","NC.1_1",14.56763387
"153","YDL095W","PMT1","NC","NC.1_1",14.47526822
"154","YDL097C","RPN6","NC","NC.1_1",16.84200038
"155","YDL100C","GET3","NC","NC.1_1",16.79880233
"156","YDL103C","QRI1","NC","NC.1_1",15.69412888
"157","YDL112W","TRM3","NC","NC.1_1",14.42877521
"158","YDL122W","UBP1","NC","NC.1_1",15.03076899
"159","YDL124W","YDL124W","NC","NC.1_1",16.62235814
"160","YDL125C","HNT1","NC","NC.1_1",17.34292166
"161","YDL126C","CDC48","NC","NC.1_1",17.5022624
"162","YDL131W","LYS21","NC","NC.1_1",15.31025816
"163","YDL132W","CDC53","NC","NC.1_1",14.64060671
"164","YDL135C","RDI1","NC","NC.1_1",15.44335556
"165","YDL136W;YDL191W",NA,"NC","NC.1_1",18.54447073
"166","YDL140C","RPO21","NC","NC.1_1",15.7298727
"167","YDL143W","CCT4","NC","NC.1_1",16.40003055
"168","YDL145C","COP1","NC","NC.1_1",16.29340864
"169","YDL147W","RPN5","NC","NC.1_1",16.35403868
"170","YDL148C","NOP14","NC","NC.1_1",14.60121493
"171","YDL153C","SAS10","NC","NC.1_1",14.05789854
"172","YDL160C","DHH1","NC","NC.1_1",16.72050887
"173","YDL161W","ENT1","NC","NC.1_1",14.84457025
"174","YDL166C","FAP7","NC","NC.1_1",14.57525284
"175","YDL168W","SFA1","NC","NC.1_1",15.63428174
"176","YDL171C","GLT1","NC","NC.1_1",15.49101131
"177","YDL182W","LYS20","NC","NC.1_1",16.83411478
"178","YDL185W","VMA1","NC","NC.1_1",18.04475255
"179","YDL188C","PPH22","NC","NC.1_1",15.27655269
"180","YDL192W","ARF1","NC","NC.1_1",19.01056089
"181","YDL195W","SEC31","NC","NC.1_1",16.4059745
"182","YDL198C","GGC1","NC","NC.1_1",15.2019948
"183","YDL201W","TRM8","NC","NC.1_1",14.96916916
"184","YDL205C","HEM3","NC","NC.1_1",15.64442832
"185","YDL208W","NHP2","NC","NC.1_1",16.82147914
"186","YDL215C","GDH2","NC","NC.1_1",13.79845123
"187","YDL225W","SHS1","NC","NC.1_1",14.6980221
"188","YDL226C","GCS1","NC","NC.1_1",15.88840297
"189","YDL229W","SSB1","NC","NC.1_1",22.54625187
"190","YDL236W","PHO13","NC","NC.1_1",15.83672265
"191","YDR001C","NTH1","NC","NC.1_1",14.63101693
"192","YDR002W","YRB1","NC","NC.1_1",15.98197048
"193","YDR011W","SNQ2","NC","NC.1_1",14.55225092
"194","YDR012W","RPL4B","NC","NC.1_1",20.53910389
"195","YDR019C","GCV1","NC","NC.1_1",14.19097485
"196","YDR023W","SES1","NC","NC.1_1",17.24854847
"197","YDR032C","PST2","NC","NC.1_1",17.00891857
"198","YDR033W","MRH1","NC","NC.1_1",18.54897197
"199","YDR035W","ARO3","NC","NC.1_1",15.44119601
"200","YDR037W","KRS1","NC","NC.1_1",17.32577702
"201","YDR044W","HEM13","NC","NC.1_1",15.20236211
"202","YDR050C","TPI1","NC","NC.1_1",21.63045195
"203","YDR060W","MAK21","NC","NC.1_1",14.46885519
"204","YDR062W","LCB2","NC","NC.1_1",14.41931325
"205","YDR064W","RPS13","NC","NC.1_1",19.5596655
"206","YDR071C","PAA1","NC","NC.1_1",17.04699332
"207","YDR074W","TPS2","NC","NC.1_1",15.79064957
"208","YDR091C","RLI1","NC","NC.1_1",16.57845942
"209","YDR098C","GRX3","NC","NC.1_1",17.13241971
"210","YDR099W","BMH2","NC","NC.1_1",18.01874284
"211","YDR101C","ARX1","NC","NC.1_1",15.8006017
"212","YDR120C","TRM1","NC","NC.1_1",15.65197751
"213","YDR127W","ARO1","NC","NC.1_1",16.1154656
"214","YDR129C","SAC6","NC","NC.1_1",16.73154506
"215","YDR135C","YCF1","NC","NC.1_1",14.78690811
"216","YDR148C","KGD2","NC","NC.1_1",15.76989952
"217","YDR150W","NUM1","NC","NC.1_1",14.06139526
"218","YDR155C","CPR1","NC","NC.1_1",19.28938277
"219","YDR158W","HOM2","NC","NC.1_1",17.44100767
"220","YDR165W","TRM82","NC","NC.1_1",14.73747223
"221","YDR168W","CDC37","NC","NC.1_1",15.73565621
"222","YDR170C","SEC7","NC","NC.1_1",13.93178261
"223","YDR172W","SUP35","NC","NC.1_1",16.08157218
"224","YDR174W","HMO1","NC","NC.1_1",17.67100648
"225","YDR177W","UBC1","NC","NC.1_1",16.14594209
"226","YDR188W","CCT6","NC","NC.1_1",15.65209051
"227","YDR189W","SLY1","NC","NC.1_1",14.46357601
"228","YDR190C","RVB1","NC","NC.1_1",16.86599241
"229","YDR194C","MSS116","NC","NC.1_1",14.57921458
"230","YDR211W","GCD6","NC","NC.1_1",15.32294904
"231","YDR212W","TCP1","NC","NC.1_1",16.61317064
"232","YDR214W","AHA1","NC","NC.1_1",16.12921855
"233","YDR226W","ADK1","NC","NC.1_1",17.63952917
"234","YDR232W","HEM1","NC","NC.1_1",14.70425744
"235","YDR233C","RTN1","NC","NC.1_1",16.54192788
"236","YDR234W","LYS4","NC","NC.1_1",15.07769278
"237","YDR238C","SEC26","NC","NC.1_1",15.61747027
"238","YDR245W","MNN10","NC","NC.1_1",15.00276734
"239","YDR258C","HSP78","NC","NC.1_1",14.91411793
"240","YDR289C","RTT103","NC","NC.1_1",14.11883749
"241","YDR293C","SSD1","NC","NC.1_1",14.91395506
"242","YDR294C","DPL1","NC","NC.1_1",14.71549714
"243","YDR298C","ATP5","NC","NC.1_1",16.40259139
"244","YDR299W","BFR2","NC","NC.1_1",15.35958503
"245","YDR300C","PRO1","NC","NC.1_1",15.19787313
"246","YDR304C","CPR5","NC","NC.1_1",16.45278506
"247","YDR321W","ASP1","NC","NC.1_1",16.23459147
"248","YDR324C","UTP4","NC","NC.1_1",15.02248042
"249","YDR328C","SKP1","NC","NC.1_1",15.18360328
"250","YDR341C","YDR341C","NC","NC.1_1",17.00638656
"251","YDR345C","HXT3","NC","NC.1_1",16.458279
"252","YDR346C","SVF1","NC","NC.1_1",16.22127012
"253","YDR347W","MRP1","NC","NC.1_1",15.5840304
"254","YDR348C","PAL1","NC","NC.1_1",14.27376921
"255","YDR353W","TRR1","NC","NC.1_1",18.19759107
"256","YDR354W","TRP4","NC","NC.1_1",13.676367
"257","YDR361C","BCP1","NC","NC.1_1",14.58321542
"258","YDR368W","YPR1","NC","NC.1_1",15.62617713
"259","YDR372C","VPS74","NC","NC.1_1",15.31918436
"260","YDR378C","LSM6","NC","NC.1_1",16.37306596
"261","YDR381W","YRA1","NC","NC.1_1",18.87809859
"262","YDR382W","RPP2B","NC","NC.1_1",19.64901052
"263","YDR385W;YOR133W",NA,"NC","NC.1_1",19.36260885
"264","YDR388W","RVS167","NC","NC.1_1",15.33263553
"265","YDR394W","RPT3","NC","NC.1_1",15.23495663
"266","YDR395W","SXM1","NC","NC.1_1",15.10253098
"267","YDR398W","UTP5","NC","NC.1_1",14.35999829
"268","YDR399W","HPT1","NC","NC.1_1",15.44448288
"269","YDR408C","ADE8","NC","NC.1_1",15.12392089
"270","YDR418W;YEL054C",NA,"NC","NC.1_1",20.98158296
"271","YDR427W","RPN9","NC","NC.1_1",15.92629726
"272","YDR429C","TIF35","NC","NC.1_1",16.28487549
"273","YDR432W","NPL3","NC","NC.1_1",17.20273709
"274","YDR447C;YML024W",NA,"NC","NC.1_1",21.21539762
"275","YDR450W;YML026C",NA,"NC","NC.1_1",18.65964526
