"","systematic_name","gene","C3","C8","CS23","HS42","NC","UT","C3_C8","C3_CS23","C3_HS42","C3_NC","C3_UT","C8_CS23","C8_HS42","C8_NC","C8_UT","CS23_HS42","CS23_NC","CS23_UT","HS42_NC","HS42_UT","NC_UT"
"16","YAR007C","RFA1",15.2913494033333,15.2740589525,15.077620645,16.0007833775,15.5669505025,15.7558182433333,-0.0172904508333325,-0.213728758333334,0.709433974166666,0.275601099166666,0.46446884,-0.196438307500001,0.726724424999999,0.292891549999998,0.481759290833333,0.9231627325,0.4893298575,0.678197598333334,-0.433832875,-0.244965134166666,0.188867740833334
"17","YAR015W","ADE1",15.3716867966667,15.8855008875,15.6176368425,16.02535315,15.924765425,16.266918725,0.513814090833334,0.245950045833332,0.653666353333334,0.553078628333333,0.895231928333333,-0.267864045000001,0.1398522625,0.0392645374999994,0.381417837499999,0.407716307500001,0.307128582500001,0.6492818825,-0.100587725,0.241565574999999,0.3421533
"18","YBL002W","HTB2",18.48704845,19.075327075,18.9730261475,19.5999304725,18.4586476425,18.7418718966667,0.588278625000001,0.485977697500001,1.1128820225,-0.0284008074999988,0.254823446666666,-0.1023009275,0.524603397499998,-0.6166794325,-0.333455178333335,0.626904324999998,-0.514378505,-0.231154250833335,-1.14128283,-0.858058575833333,0.283224254166665
"19","YBL007C","SLA1",14.2982076266667,14.8182463,14.3240803775,15.333036165,14.9087060725,15.3226635633333,0.520038673333334,0.025872750833333,1.03482853833333,0.610498445833333,1.02445593666667,-0.494165922500001,0.514789864999999,0.0904597724999991,0.504417263333334,1.0089557875,0.584625695,0.998583185833334,-0.4243300925,-0.0103726016666652,0.413957490833335
"20","YBL017C","PEP1",14.9169400933333,14.6844609675,14.5096914075,15.3173012625,14.9817329275,14.9302062241667,-0.232479125833335,-0.407248685833334,0.400361169166665,0.064792834166667,0.0132661308333333,-0.17476956,0.632840294999999,0.297271960000002,0.245745256666668,0.807609854999999,0.472041520000001,0.420514816666667,-0.335568334999998,-0.387095038333332,-0.0515267033333338
"21","YBL022C","PIM1",14.2733388533333,14.4382720025,14.3754716575,15.072412,14.6475885,15.0548726391667,0.164933149166666,0.102132804166667,0.799073146666666,0.374249646666666,0.781533785833332,-0.0628003449999994,0.6341399975,0.2093164975,0.616600636666666,0.6969403425,0.272116842499999,0.679400981666666,-0.4248235,-0.0175393608333341,0.407284139166666
"22","YBL023C","MCM2",14.16687767,14.25381135,14.06195221,14.878592875,14.2614613025,14.6698664633333,0.0869336799999996,-0.10492546,0.711715205000001,0.0945836324999991,0.502988793333333,-0.19185914,0.624781525000001,0.00764995249999956,0.416055113333334,0.816640665000001,0.1995090925,0.607914253333334,-0.617131572500002,-0.208726411666667,0.408405160833334
"23","YBL024W","NCL1",16.1646387666667,16.0219341925,15.988857355,16.7136483025,16.1883679875,16.6068604358333,-0.142704574166668,-0.175781411666666,0.549009535833335,0.0237292208333351,0.442221669166667,-0.0330768374999977,0.691714110000003,0.166433795000003,0.584926243333335,0.724790947500001,0.199510632500001,0.618003080833333,-0.525280315,-0.106787866666668,0.418492448333332
"24","YBL026W","LSM2",16.2048781833333,16.05310726,16.3248818225,17.122543745,16.0169051975,17.2178515841667,-0.151770923333334,0.120003639166665,0.917665561666666,-0.187972985833333,1.01297340083333,0.271774562499999,1.069436485,-0.0362020624999992,1.16474432416667,0.797661922500001,-0.307976624999998,0.892969761666667,-1.1056385475,0.0953078391666651,1.20094638666666
"25","YBL030C","PET9",16.69480886,17.0480156475,16.4650437575,17.5806687925,16.3397285975,17.1810851316667,0.353206787500003,-0.2297651025,0.885859932500001,-0.3550802625,0.486276271666668,-0.582971890000003,0.532653144999998,-0.708287050000003,0.133069484166665,1.115625035,-0.12531516,0.716041374166668,-1.240940195,-0.399583660833333,0.841356534166668
"26","YBL032W","HEK2",15.20402051,15.34068506,15.37035311,15.9802806575,15.7737583,16.1019808758333,0.136664550000001,0.1663326,0.7762601475,0.569737790000001,0.897960365833335,0.0296680499999997,0.6395955975,0.433073240000001,0.761295815833334,0.6099275475,0.403405190000001,0.731627765833334,-0.206522357499999,0.121700218333334,0.328222575833333
"27","YBL036C","YBL036C",14.81453916,15.23309482,15.193758285,15.5209687075,14.9867521225,15.8576511233333,0.418555660000001,0.379219125000002,0.706429547500001,0.172212962500002,1.04311196333333,-0.0393365349999986,0.2878738875,-0.246342697499999,0.624556303333334,0.327210422499999,-0.207006162500001,0.663892838333332,-0.534216584999999,0.336682415833334,0.870899000833333
"28","YBL039C","URA7",15.9306865433333,16.0582581375,16.0280489525,16.58549654,16.2483634925,16.64369909,0.127571594166668,0.0973624091666672,0.654809996666668,0.317676949166668,0.713012546666665,-0.0302091850000004,0.5272384025,0.190105355,0.585440952499997,0.5574475875,0.22031454,0.615650137499998,-0.3371330475,0.0582025499999972,0.395335597499997
"29","YBL041W","PRE7",16.55311929,15.66269769,15.8715749025,16.9402692525,16.1231764975,16.6837599158333,-0.890421600000002,-0.681544387500001,0.387149962499997,-0.4299427925,0.130640625833333,0.208877212500001,1.2775715625,0.460478807500001,1.02106222583333,1.06869435,0.251601595,0.812185013333334,-0.817092754999997,-0.256509336666664,0.560583418333334
"30","YBL045C","COR1",15.5592338466667,15.9798001425,15.5745913875,16.4323839375,16.0781627025,16.2999788908333,0.420566295833334,0.0153575408333335,0.873150090833333,0.518928855833332,0.740745044166667,-0.405208755,0.452583794999999,0.0983625599999982,0.320178748333333,0.857792549999999,0.503571314999999,0.725387503333334,-0.354221235000001,-0.132405046666666,0.221816188333335
"31","YBL047C","EDE1",15.4780222433333,15.2588151575,14.965409385,15.8047688,15.477838885,15.8051934341667,-0.219207085833334,-0.512612858333332,0.326746556666667,-0.000183358333332606,0.327171190833333,-0.293405772499998,0.545953642500001,0.219023727500002,0.546378276666667,0.839359414999999,0.5124295,0.839784049166665,-0.326929914999999,0.000424634166666493,0.327354549166666
"32","YBL050W","SEC17",15.6127834866667,15.8334413325,15.5567550075,16.4773624725,15.900866515,16.4240297625,0.220657845833335,-0.0560284791666668,0.864578985833335,0.288083028333334,0.811246275833335,-0.276686325000002,0.64392114,0.0674251824999992,0.59058843,0.920607465000002,0.344111507500001,0.867274755000002,-0.576495957500001,-0.0533327099999994,0.523163247500001
"33","YBL058W","SHP1",14.7909760966667,15.1681952775,15.104139505,15.66556649,15.39587846,15.8853159058333,0.377219180833334,0.313163408333335,0.874590393333333,0.604902363333334,1.09433980916667,-0.0640557724999997,0.497371212499999,0.2276831825,0.717120628333333,0.561426984999999,0.291738955,0.781176400833333,-0.269688029999999,0.219749415833334,0.489437445833333
"34","YBL064C","PRX1",15.10274947,15.0720231225,15.1820589325,15.6866232225,15.746300215,15.8831608408333,-0.0307263474999999,0.0793094625000013,0.583873752500001,0.643550745000002,0.780411370833335,0.110035810000001,0.614600100000001,0.674277092500002,0.811137718333335,0.504564289999999,0.564241282500001,0.701101908333333,0.0596769925000018,0.196537618333334,0.136860625833332
"35","YBL075C","SSA3",16.9685297833333,18.9267538975,17.47465902,18.50041114,19.0540381875,18.6998574141667,1.95822411416666,0.506129236666666,1.53188135666667,2.08550840416667,1.73132763083333,-1.4520948775,-0.426342757499999,0.127284290000002,-0.226896483333334,1.02575212,1.5793791675,1.22519839416666,0.553627047500001,0.199446274166664,-0.354180773333336
"36","YBL076C","ILS1",17.4389255166667,17.7050657675,17.3534492875,18.27720206,17.7298753175,17.9257339533333,0.266140250833335,-0.0854762291666695,0.838276543333333,0.290949800833332,0.486808436666664,-0.351616480000004,0.572136292499998,0.024809549999997,0.220668185833329,0.923752772500002,0.376426030000001,0.572284665833333,-0.547326742500001,-0.351468106666669,0.195858635833332
