systematic_name,gene,treatment_id,fc_log2,p_value,adj_p_value,regulated
YFL018C,LPD1,AF2,-0.2901425,0.015133095,0.107139526,FALSE
YFL022C,FRS2,AF2,0.097313333,0.492328338,0.739334026,FALSE
YFL028C,CAF16,AF2,0.120654167,0.479075203,0.729787141,FALSE
YFL037W,TUB2,AF2,0.033546667,0.84708942,0.939944445,FALSE
YFL038C,YPT1,AF2,0.056463333,0.822816768,0.928905877,FALSE
YFL039C,ACT1,AF2,-0.147826667,0.532301757,0.765642755,FALSE
YFL045C,SEC53,AF2,-0.285763333,0.101030137,0.326674734,FALSE
YFL048C,EMP47,AF2,0.236439167,0.281808741,0.562003055,FALSE
YFR002W,NIC96,AF2,0.40269,0.087080753,0.300220997,FALSE
YFR004W,RPN11,AF2,0.3437,0.14763043,0.399764909,FALSE
YFR006W,YFR006W,AF2,-0.49623,6.18E-04,0.012747575,FALSE
YFR009W,GCN20,AF2,0.230750833,0.042297768,0.198756975,FALSE
YFR010W,UBP6,AF2,0.294708333,0.016270838,0.112032752,FALSE
YFR024C-A,LSB3,AF2,2.74E-04,0.998664955,0.999694451,FALSE
YFR030W,MET10,AF2,-0.265938333,0.13272846,0.377790819,FALSE
YFR031C-A;YIL018W,NA,AF2,-0.2098825,0.36652269,0.641497285,FALSE
YFR037C,RSC8,AF2,-0.098036667,0.554505052,0.779772359,FALSE
YFR044C,DUG1,AF2,0.074985833,0.662184587,0.845546794,FALSE
YFR047C,BNA6,AF2,0.086809167,0.569133101,0.789138109,FALSE
YFR050C,PRE4,AF2,0.218013333,0.12503987,0.365897797,FALSE
YFR051C,RET2,AF2,-0.1495925,0.332832284,0.611598589,FALSE
YFR052W,RPN12,AF2,0.069920833,0.813944427,0.924936849,FALSE
YFR053C,HXK1,AF2,-0.614109167,2.65E-04,0.007060691,FALSE
YGL001C,ERG26,AF2,0.380625833,0.061647392,0.246410857,FALSE
YGL008C,PMA1,AF2,-0.3053825,0.211225927,0.48521677,FALSE
YGL009C,LEU1,AF2,-0.086449167,0.625165844,0.823492079,FALSE
YGL011C,SCL1,AF2,0.163685,0.474570156,0.726223279,FALSE
YGL014W,PUF4,AF2,0.003421667,0.984136039,0.994513688,FALSE
YGL022W,STT3,AF2,0.150354167,0.535978897,0.76821213,FALSE
YGL026C,TRP5,AF2,0.214494167,0.077167773,0.280873035,FALSE
YGL027C,CWH41,AF2,-0.088188333,0.626439885,0.824498208,FALSE
YGL030W,RPL30,AF2,-0.207413333,0.331318677,0.60991066,FALSE
YGL031C,RPL24A,AF2,-0.7773925,0.011882127,0.092034104,FALSE
YGL037C,PNC1,AF2,-0.651396667,0.030512519,0.163708027,FALSE
YGL040C,HEM2,AF2,-0.035775,0.769519398,0.901837826,FALSE
YGL043W,DST1,AF2,-0.138441667,0.347877056,0.624795409,FALSE
YGL048C,RPT6,AF2,0.134931667,0.181190966,0.447190598,FALSE
YGL049C,TIF4632,AF2,0.392356667,0.274713621,0.555539684,FALSE
YGL055W,OLE1,AF2,-0.123544167,0.641296158,0.833497524,FALSE
YGL056C,SDS23,AF2,-0.082659167,0.583170834,0.797443164,FALSE
YGL062W,PYC1,AF2,-0.2010825,0.070981094,0.267921683,FALSE
YGL070C,RPB9,AF2,-0.525810833,0.034952284,0.178017846,FALSE
YGL078C,DBP3,AF2,0.408585833,0.005695853,0.057609344,FALSE
YGL087C,MMS2,AF2,-0.474151667,0.204345198,0.477468457,FALSE
YGL092W,NUP145,AF2,0.071466667,0.598452925,0.80707373,FALSE
YGL097W,SRM1,AF2,0.209354167,0.137415765,0.384759833,FALSE
YGL099W,LSG1,AF2,0.246234167,0.223168442,0.498632485,FALSE
YGL100W,SEH1,AF2,-0.254006667,0.1165442,0.352296304,FALSE
YGL103W,RPL28,AF2,-0.5389575,0.122465097,0.361613048,FALSE
YGL105W,ARC1,AF2,-0.359281667,0.153237866,0.407667698,FALSE
YGL106W,MLC1,AF2,-0.583269167,0.149825006,0.403013758,FALSE
YGL111W,NSA1,AF2,-0.242475833,0.431182458,0.692218086,FALSE
YGL115W,SNF4,AF2,-0.0244675,0.877788593,0.953655635,FALSE
YGL120C,PRP43,AF2,0.142925833,0.375452244,0.649060098,FALSE
YGL122C,NAB2,AF2,0.6042625,0.00549106,0.056393022,FALSE
YGL123W,RPS2,AF2,-0.154748333,0.509410083,0.750778131,FALSE
YGL125W,MET13,AF2,0.12071,0.559248656,0.782685102,FALSE
YGL130W,CEG1,AF2,-0.058134167,0.799816783,0.917529046,FALSE
YGL135W;YPL220W,NA,AF2,0.344971667,0.105952814,0.334347769,FALSE
YGL137W,SEC27,AF2,0.085039167,0.304064748,0.583775052,FALSE
YGL148W,ARO2,AF2,-0.352975,0.021795594,0.134224768,FALSE
YGL157W,ARI1,AF2,0.087920833,0.670807177,0.850204135,FALSE
YGL167C,PMR1,AF2,0.539716667,0.033648451,0.174092516,FALSE
YGL173C,XRN1,AF2,0.148668333,0.355601365,0.631958711,FALSE
YGL189C,RPS26A,AF2,0.026700833,0.898497766,0.962592329,FALSE
YGL195W,GCN1,AF2,0.4115675,0.003457442,0.041597524,FALSE
YGL200C,EMP24,AF2,0.086131667,0.723411108,0.879835882,FALSE
YGL201C,MCM6,AF2,0.053563333,0.614120017,0.816581393,FALSE
YGL202W,ARO8,AF2,-0.1442075,0.447122504,0.704203031,FALSE
YGL206C,CHC1,AF2,0.301535833,0.051751308,0.223091608,FALSE
YGL207W,SPT16,AF2,0.113145833,0.370656407,0.645218082,FALSE
YGL221C,NIF3,AF2,0.1622875,0.185781151,0.453304535,FALSE
YGL232W,TAN1,AF2,0.410254167,0.015209956,0.107436327,FALSE
YGL234W,ADE5,AF2,-0.1254975,0.28114021,0.561367627,FALSE
YGL238W,CSE1,AF2,0.382483333,0.050114574,0.218662382,FALSE
YGL242C,YGL242C,AF2,-0.792376667,0.006785989,0.064970834,FALSE
YGL244W,RTF1,AF2,0.072365,0.840960012,0.936967434,FALSE
YGL245W,GUS1,AF2,-0.03141,0.795330832,0.915055808,FALSE
YGL252C,RTG2,AF2,0.128601667,0.497996241,0.743022417,FALSE
YGL253W,HXK2,AF2,0.022648333,0.853732877,0.942264923,FALSE
YGR001C,EFM5,AF2,-0.1545375,0.351461626,0.628309384,FALSE
YGR005C,TFG2,AF2,0.3111825,0.201667885,0.473893416,FALSE
YGR009C,SEC9,AF2,-0.127956667,0.412968128,0.679532839,FALSE
YGR012W,YGR012W,AF2,-0.154273333,0.323929665,0.602925833,FALSE
YGR019W,UGA1,AF2,-0.5715275,4.60E-05,0.001883195,FALSE
YGR027C;YLR333C,NA,AF2,-0.871073333,0.001541598,0.024165235,FALSE
